"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ISL","SHPRICE","TOT","IDX2015","Q","2021-Q4",226.5166,
"ISL","SHPRICE","TOT","IDX2015","Q","2022-Q1",224.5231,
"IRL","SHPRICE","TOT","IDX2015","Q","2016-Q4",99.51279,
"IRL","SHPRICE","TOT","IDX2015","Q","2017-Q1",105.8952,
"IRL","SHPRICE","TOT","IDX2015","Q","2017-Q2",111.3379,
"IRL","SHPRICE","TOT","IDX2015","Q","2017-Q3",108.4716,
"IRL","SHPRICE","TOT","IDX2015","Q","2017-Q4",111.2742,
"IRL","SHPRICE","TOT","IDX2015","Q","2018-Q1",109.9823,
"IRL","SHPRICE","TOT","IDX2015","Q","2018-Q2",111.8222,
"IRL","SHPRICE","TOT","IDX2015","Q","2018-Q3",109.3019,
"IRL","SHPRICE","TOT","IDX2015","Q","2018-Q4",95.00898,
"IRL","SHPRICE","TOT","IDX2015","Q","2019-Q1",95.75076,
"IRL","SHPRICE","TOT","IDX2015","Q","2019-Q2",100.8754,
"IRL","SHPRICE","TOT","IDX2015","Q","2019-Q3",97.78223,
"IRL","SHPRICE","TOT","IDX2015","Q","2019-Q4",109.4807,
"IRL","SHPRICE","TOT","IDX2015","Q","2020-Q1",105.022,
"IRL","SHPRICE","TOT","IDX2015","Q","2020-Q2",90.48605,
"IRL","SHPRICE","TOT","IDX2015","Q","2020-Q3",101.4943,
"IRL","SHPRICE","TOT","IDX2015","Q","2020-Q4",112.7044,
"IRL","SHPRICE","TOT","IDX2015","Q","2021-Q1",121.903,
"IRL","SHPRICE","TOT","IDX2015","Q","2021-Q2",131.6352,
"IRL","SHPRICE","TOT","IDX2015","Q","2021-Q3",137.2227,
"IRL","SHPRICE","TOT","IDX2015","Q","2021-Q4",134.234,
"IRL","SHPRICE","TOT","IDX2015","Q","2022-Q1",127.7944,
"ITA","SHPRICE","TOT","IDX2015","Q","2016-Q4",83.0349,
"ITA","SHPRICE","TOT","IDX2015","Q","2017-Q1",92.96051,
"ITA","SHPRICE","TOT","IDX2015","Q","2017-Q2",100.6308,
"ITA","SHPRICE","TOT","IDX2015","Q","2017-Q3",103.8654,
"ITA","SHPRICE","TOT","IDX2015","Q","2017-Q4",107.677,
"ITA","SHPRICE","TOT","IDX2015","Q","2018-Q1",108.8764,
"ITA","SHPRICE","TOT","IDX2015","Q","2018-Q2",109.6757,
